departement,pop_2018,pop_municipale,pib_2005,pib_2000,décla,taxe_om,impot,revenu_moyen
 L o i r e ,0.4405283081375238,0.4383123221634152,-0.14771748492678724,-0.271280276816609,-0.021622366065280264,-0.05985552115583059,-0.2072302875035582,0.13566739606126915
 H a u t e - S a ô n e ,-0.5872911784623329,-0.605678165548855,-0.8130921619293713,-0.8002516514627241,-0.29954551714639854,-1.081527347781218,-0.6695132365499573,-0.4201312910284464
 M o s e l l e ,0.9863421335970651,1.0451905403875115,-0.043712316968130924,-0.08027681660899653,0.3631731166505991,-0.6357069143446854,0.06717904924565898,0.27571115973741794
 M a i n e - e t - L o i r e ,0.542725044943218,0.5229411436163808,-0.022179155900086133,-0.07927021075810003,0.2772345406968737,1.4158926728586174,-0.2971818958155423,-0.1575492341356674
 H a u t e - L o i r e ,-0.6037893588100888,-0.6359879502823608,-0.7291128337639966,-0.7957219251336899,-0.35986778680622505,-0.4313725490196079,-0.8107031027611727,-0.5995623632385121
 T a r n - e t - G a r o n n e ,-0.5422631894338372,-0.595737507180076,-0.44638242894056845,-0.6379364580056621,-0.44938713675802233,-0.16718266253869984,-0.37916310845431256,-0.1838074398249453
 D r ô m e ,-0.04414520191562855,-0.09676154871358145,0.5874246339362619,0.42252280591380936,0.1678832116788321,-0.5242518059855521,-0.004554511813265016,0.41575492341356673
 C ô t e s - d ' A r m o r ,0.12121076298725025,0.12128115614980879,-0.35895779500430663,-0.4882038376848065,0.07836386172703484,1.0835913312693501,-0.3973811557073726,-0.30196936542669583
 G i r o n d e ,2.074374327069702,1.9029894224221284,0.991817398794143,0.9333752752437874,0.8264701831703622,0.8338493292053664,1.0156561343580985,0.975929978118162
 L o t - e t - G a r o n n e ,-0.40030400615807343,-0.41881223479835067,-0.4351851851851852,-0.390059767222397,-0.543313593168985,-0.5510835913312695,-0.4622829490463991,-0.5689277899343544
 M e u r t h e - e t - M o s e l l e ,0.38212015063894883,0.4056639206878936,0.14944013781223084,-0.002768166089965398,0.23316347610521967,-1.0072239422084623,0.31653857102191857,0.4288840262582057
 I n d r e - e t - L o i r e ,0.13714380368217716,0.11986281891451085,0.3628337639965547,0.3075180874488833,0.4069687370885553,0.6233230134158927,0.15143751779106177,0.7045951859956237
 H a u t s - d e - S e i n e ,2.1080391115614905,2.1447749286347837,10.859388458225668,10.640075495438817,5.786117614653629,0.3323013415892673,7.25533731853117,7.072210065645514
 A l l i e r ,-0.3901685187982013,-0.39449758939034557,-0.2922049956933678,-0.26901541365209186,-0.6380663820410412,-0.5675954592363263,-0.7025334471961286,-0.4638949671772429
